Movie,Gross,Gross_log,Budget,Year,Ratings,Genre,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate.Followers
13 Sins,0.00913,-4.69618958437526,4,2014,6.3,8,45,1,0,3280543,4632,425,636,112e4
22 Jump Street,192,5.2574953720277815,50,2014,7.1,1,3306,2,2,583289,3465,61,186,1235e4
3 Days to Kill,30.7,3.4242626545931514,28,2014,6.2,1,2872,1,0,304861,328,34,47,483e3
300: Rise of an Empire,106,4.663439094112067,110,2014,6.3,1,3470,2,0,452917,2429,132,590,568e3
A Haunted House 2,17.3,2.8507065015037334,3.5,2014,4.7,8,2310,2,0,3145573,12163,610,1082,1923800
A Long Way Off,0.029,-3.540459448995663,0.5,2014,4.6,3,2310,1,0,91137,112,7,1,31e4
A Million Ways to Die in the West,42.6,3.751854253275325,40,2014,6.1,8,3158,1,0,3013011,9595,419,1020,8153e3
A Most Violent Year,5.75,1.749199854809259,20,2014,7.1,1,818,1,2,1854103,2207,197,593,130655
A Walk Among the Tombstones,26,3.258096538021482,28,2014,6.5,10,2714,1,3,2213659,2210,419,382,125646
About Last Night,48.6,3.883623530906448,12.5,2014,6.1,8,2253,1,0,5218079,11709,532,770,21697300
American Sniper,350,5.857933154483459,58.8,2014,7.3,1,3555,1,4,3927600,13143,573,3134,24300
And So It Goes,15.2,2.7212954278522306,30,2014,5.7,8,1762,1,0,519327,963,94,70,386400
Annabelle,84.3,4.4343818650078095,6.5,2014,5.4,15,3185,1,0,19032902,38810,4382,4392,19420105
Annie,85.9,4.45318382899021,65,2014,5.2,8,3116,1,0,930006,5150,707,1484,5130800
Atlas Shrugged: Who Is John Galt?,0.83,-0.18632957819149348,5,2014,4.4,3,65,3,0,595194,85,36,39,15112
Barefoot,0.0118,-4.439655747510518,6,2014,6.6,8,18,1,2,3915978,6983,247,460,253e3
Better Living Through Chemistry,0.0723,-2.626931149817418,5,2014,6.3,8,25,1,0,1391527,2479,146,182,1658900
Beyond the Lights,14.6,2.681021528714291,7,2014,6.9,3,31,1,0,1828235,7633,235,685,116100
Big Hero 6,222,5.402677381872279,165,2014,7.9,12,3761,1,29,4700023,14163,538,1293,199800
Black or White,21.6,3.0726933146901194,9,2014,6.6,3,1823,1,-1,1348142,4404,307,1033,888e3
Blended,46.3,3.835141961092188,40,2014,6.5,8,3555,1,-2,7977747,18690,1940,2214,2417e3
Boyhood,25.4,3.2347491740244907,4,2014,8,3,771,1,9,1671367,4572,207,741,105e3
Brick Mansions,20.3,3.0106208860477417,28,2014,5.7,1,2647,1,0,2088644,6633,255,1235,3209e3
Cake,1.87,0.6259384308664954,7,2014,6.5,3,482,1,2,4398243,9202,454,1150,4769100
Camp X-Ray,0.00984,-4.621299567917975,1,2014,7,3,3306,1,3,7128,1,0,0,2182
Cantinflas,6.37,1.851599469584072,3,2014,6.7,9,382,1,3,2902492,9522,558,2296,568e3
Captain America: The Winter Soldier,260,5.560681631015528,170,2014,7.8,1,3938,2,5,760262,2918,66,837,803e4
Dawn of the Planet of the Apes,209,5.342334251964811,170,2014,7.7,1,3967,2,-4,1735700,6772,187,889,114e3
Deliver Us from Evil,30.5,3.417726683613366,30,2014,6.2,10,97,1,0,465219,1348,72,162,744600
Devil's Due,15.8,2.760009940032921,7,2014,4,15,2544,1,0,1844690,3728,581,729,9536
Divergent,151,5.017279836814924,85,2014,6.8,2,3936,1,-4,463866,3400,152,987,103e4
Dolphin Tale 2,42,3.7376696182833684,36,2014,6.4,3,3376,2,-1,384448,1230,129,228,276750
Dracula Untold,55.9,4.023564380161053,70,2014,6.3,1,2872,1,0,9149892,26427,1342,5278,395500
Draft Day,28.8,3.3603753871419,27,2014,6.8,3,2781,1,0,522630,1248,153,227,147e3
Dumb and Dumber To,86.2,4.456670177669648,35,2014,5.8,8,3154,3,0,3287020,7698,446,1122,17064e3
Earth to Echo,38.9,3.6609942506244004,13,2014,5.8,2,3230,1,0,1488038,2571,553,643,88586
Edge of Tomorrow,100,4.605170185988092,178,2014,7.9,1,3490,1,0,15568277,29251,1730,6439,561e4
Endless Love,23.4,3.152736022363656,20,2014,6.3,3,2800,1,1,11850723,24226,1343,2577,21500
Falcon Rising,0.00869,-4.7455823397048364,4.5,2014,5.7,1,2872,1,0,735551,636,98,92,106e4
Foxcatcher,1.21,0.1906203596086497,24,2014,7.1,9,66,1,6,6685088,8369,467,1580,1372e4
Fury,85.7,4.450852825603734,68,2014,7.6,1,3313,1,3,2276605,3946,331,1286,1888e3
God Help the Girl,0.102,-2.282782465697866,1.85,2014,6.4,3,8,1,-4,1034480,6490,181,374,66600
God's Not Dead,60.8,4.107589788972121,2,2014,5,3,780,1,0,456564,1706,413,890,412e3
God's Pocket,0.104,-2.2633643798407643,1,2014,6.1,10,3,1,0,99427,47,10,12,1923800
Godzilla,201,5.303304908059076,160,2014,6.5,1,3952,1,2,1156609,2968,112,547,187e4
Gone Girl,168,5.123963979403259,61,2014,8.2,3,3014,1,-11,396010,1390,58,342,2064e4
Guardians of the Galaxy,333,5.808142489980444,170,2014,8.1,1,4080,1,0,1313548,8567,269,1285,275e4
Happy Christmas,0.0301,-3.503230107227307,0.07,2014,5.6,8,9,1,0,924347,1406,107,132,5887700
Heaven Is for Real,91.4,4.515245478460105,12,2014,5.8,3,2417,1,-9,175017,461,34,133,1235e4
Hercules,72.7,4.286341384539473,100,2014,6.1,1,3595,1,-2,9324678,15479,1130,3925,9414e3
Horrible Bosses 2,54.4,3.996364153861897,42,2014,6.3,8,93,2,-1,1292235,5284,124,362,165e4
How to Train Your Dragon 2,177,5.176149732573829,145,2014,7.9,12,4253,2,3,11472161,22779,862,2863,671e3
If I Stay,50.5,3.9219733362813143,11,2014,6.8,3,1272,1,14,9222933,41728,924,3609,18e5
In the Name of My Daughter,0.275,-1.2909841813155656,8.93277993,2014,6.1,3,6,1,0,8210,6,0,0,58900
Inherent Vice,8.09,2.0906287310704004,20,2014,6.7,8,645,1,1,1167941,2651,82,797,483e3
Interstellar,188,5.236441962829949,165,2014,8.7,2,3561,1,2,5421705,16635,751,4316,1865e3
Into the Storm,47.6,3.8628327612373745,50,2014,5.8,1,3434,1,0,4270410,8886,569,3058,301e3
Into the Woods,128,4.852030263919617,50,2014,6,2,2440,1,-4,817242,4391,112,346,472e4
It Follows,14.7,2.6878474937846906,2,2014,6.9,15,4,1,-9,4877,6,1,1,483e3
Jack Ryan: Shadow Recruit,50.5,3.9219733362813143,60,2014,6.2,1,3387,5,4,3320754,4322,347,1105,147e3
Jersey Boys,47,3.8501476017100584,40,2014,6.9,9,2905,1,10,1438350,4028,133,543,27323
John Wick,43,3.7612001156935624,20,2014,7.2,1,2589,1,0,4846645,14722,405,2732,483e3
Kill the Messenger,2.45,0.8960880245566357,5,2014,7,9,374,1,0,3650720,6917,234,1119,1045200
Kingsman: The Secret Service,128,4.852030263919617,81,2014,7.8,1,3204,1,0,2767873,46023,944,6946,5407e3
Kung Fu Jungle,0.129,-2.047942874620465,25,2014,6.5,1,28,1,-2,289922,143,17,9,112e4
Left Behind,14,2.6390573296152584,16,2014,3.1,1,1825,1,0,5611593,11187,2111,7595,116800
Let's Be Cops,82.4,4.411585436915426,17,2014,6.5,8,1534,1,-5,4450824,7315,546,909,2356e3
Life After Beth,0.0083,-4.7914997641795845,2.4,2014,5.7,8,45,1,0,1222921,5553,193,335,1463e3
Locker 13,0.00247,-6.003537128342251,0.3,2014,4.8,7,3,1,0,30529,18,4,2,18100
Lucy,127,4.844187086458591,40,2014,6.4,1,3173,1,1,1142964,2346,167,311,483e3
Maleficent,241,5.484796933490655,180,2014,7,1,3948,1,0,557012,3528,135,464,5633
Maps to the Stars,0.348,-1.0555527992076628,15,2014,6.3,8,66,1,0,177465,595,39,71,644e3
Million Dollar Arm,36.4,3.594568774642695,25,2014,7.1,9,3019,1,27,1470438,4314,168,511,13e4
Moms' Night Out,10.4,2.341805806147327,5,2014,5.4,8,1044,1,0,667852,469,38,44,919e3
Mr. Peabody & Sherman,112,4.718498871295094,145,2014,6.9,12,3934,1,13,277848,890,45,88,8839043
Muppets Most Wanted,51.2,3.9357395320454622,50,2014,6.5,2,3194,3,-1,3037329,6696,564,1061,985e4
My Old Lady,4.01,1.3887912413184778,5,2014,6.3,8,255,1,0,446576,659,50,45,1923800
Need for Speed,43.6,3.775057150354989,66,2014,6.6,1,3115,1,5,1451649,7342,533,2305,2594e3
